Final state;Final frame;;;
0;118;;;
0;202;;;
0;13;;;
0;41;;;
0;62;;;
0;62;;;
0;48;;;
0;34;;;
0;117;;;
0;125;;;
0;217;;;
0;149;;;
0;220;;;
0;115;;;
0;100;;;
0;128;;;
0;111;;;
0;22;;;
0;103;;;
0;55;;;
0;27;;;
0;50;;;
0;78;;;
0;32;;;
0;47;;;
0;270;;;
0;97;;;
0;39;;;
0;56;;;
0;38;;;
0;28;;;
0;88;;;
0;120;;;
0;62;;;
0;116;;;
0;213;;;
0;0;;;
0;51;;;
0;86;;;
0;144;;;
0;34;;;
0;77;;;
0;69;;;
0;42;;;
0;85;;;
0;124;;;
0;22;;;
0;56;;;
0;35;;;
0;44;;;
0;107;;;
0;99;;;
0;197;;;
0;0;;;
0;113;;;
0;69;;;
0;141;;;
0;34;;;
0;274;;;
0;67;;;
0;70;;;
0;73;;;
0;99;;;
0;25;;;
0;48;;;
0;179;;;
0;59;;;
0;37;;;
0;46;;;
0;92;;;
0;42;;;
0;41;;;
0;95;;;
0;20;;;
0;210;;;
0;54;;;
0;219;;;
0;67;;;
0;45;;;
0;144;;;
0;32;;;
0;179;;;
0;134;;;
0;89;;;
0;108;;;
0;80;;;
0;40;;;
0;27;;;
0;36;;;
0;32;;;
0;39;;;
0;32;;;
0;60;;;
0;252;;;
0;184;;;
0;42;;;
0;0;;;
0;158;;;
0;60;;;
0;169;;;
0;65;;;
0;97;;;
0;132;;;
0;25;;;
0;33;;;
0;66;;;
0;78;;;
0;46;;;
0;37;;;
0;132;;;
0;35;;;
0;214;;;
0;76;;;
0;0;;;
0;123;;;
0;27;;;
0;29;;;
0;57;;;
0;164;;;
0;123;;;
0;34;;;
0;26;;;
0;34;;;
0;77;;;
0;75;;;
0;114;;;
0;96;;;
0;150;;;
0;152;;;
0;129;;;
0;76;;;
0;173;;;
0;85;;;
0;43;;;
0;61;;;
0;124;;;
0;170;;;
0;36;;;
0;186;;;
0;89;;;
0;40;;;
0;88;;;
0;38;;;
0;83;;;
0;47;;;
0;112;;;
0;76;;;
0;176;;;
0;0;;;
0;69;;;
0;68;;;
0;51;;;
0;71;;;
0;57;;;
0;88;;;
0;237;;;
0;16;;;
0;66;;;
0;102;;;
0;0;;;
0;88;;;
0;36;;;
0;64;;;
0;11;;;
0;62;;;
0;23;;;
0;64;;;
0;57;;;
0;104;;;
0;109;;;
0;0;;;
0;103;;;
0;54;;;
0;41;;;
0;104;;;
0;60;;;
0;33;;;
0;89;;;
0;0;;;
0;0;;;
0;70;;;
0;46;;;
0;89;;;
0;52;;;
0;57;;;
0;87;;;
0;78;;;
0;16;;;
0;121;;;
0;238;;;
0;24;;;
0;64;;;
0;69;;;
0;53;;;
0;16;;;
0;142;;;
0;0;;;
0;66;;;
0;65;;;
0;182;;;
0;99;;;
0;196;;;
0;39;;;
0;67;;;
0;49;;;
0;52;;;
0;16;;;
0;83;;;
0;66;;;
0;249;;;
0;164;;;
0;165;;;
0;53;;;
0;94;;;
0;0;;;
0;78;;;
0;11;;;
0;57;;;
0;28;;;
0;43;;;
0;179;;;
0;281;;;
0;155;;;
0;72;;;
0;26;;;
0;50;;;
0;106;;;
0;60;;;
0;0;;;
0;34;;;
0;109;;;
0;10;;;
0;0;;;
0;85;;;
0;101;;;
0;80;;;
0;145;;;
0;22;;;
0;63;;;
0;209;;;
0;70;;;
0;72;;;
0;30;;;
0;0;;;
0;62;;;
0;116;;;
0;125;;;
0;177;;;
0;88;;;
0;349;;;
0;28;;;
0;76;;;
0;59;;;
0;82;;;
0;215;;;
0;190;;;
0;95;;;
0;33;;;
0;51;;;
0;181;;;
0;33;;;
0;53;;;
0;19;;;
0;211;;;
0;95;;;
0;115;;;
0;221;;;
0;52;;;
0;0;;;
0;160;;;
0;124;;;
0;58;;;
0;149;;;
0;60;;;
0;127;;;
0;314;;;
0;95;;;
0;15;;;
0;72;;;
0;123;;;
0;45;;;
0;67;;;
0;39;;;
0;38;;;
0;75;;;
0;57;;;
0;48;;;
0;263;;;
0;29;;;
0;63;;;
0;31;;;
0;75;;;
0;154;;;
0;17;;;
0;68;;;
0;263;;;
0;44;;;
0;65;;;
0;22;;;
0;285;;;
0;66;;;
0;44;;;
0;65;;;
0;44;;;
0;77;;;
0;65;;;
0;336;;;
0;143;;;
0;81;;;
0;57;;;
0;161;;;
0;112;;;
0;103;;;
0;257;;;
0;121;;;
0;59;;;
0;100;;;
0;49;;;
0;63;;;
0;99;;;
0;83;;;
0;135;;;
0;195;;;
0;49;;;
0;23;;;
0;170;;;
0;51;;;
0;128;;;
0;82;;;
0;11;;;
0;84;;;
0;55;;;
0;93;;;
0;78;;;
0;43;;;
0;63;;;
0;0;;;
0;163;;;
0;65;;;
0;191;;;
0;17;;;
0;89;;;
0;96;;;
0;24;;;
0;113;;;
0;93;;;
0;79;;;
0;143;;;
0;48;;;
0;45;;;
0;163;;;
0;97;;;
0;82;;;
0;98;;;
0;104;;;
0;34;;;
0;11;;;
0;100;;;
0;80;;;
0;202;;;
0;69;;;
0;39;;;
0;44;;;
0;50;;;
0;43;;;
0;96;;;
0;67;;;
0;15;;;
0;31;;;
0;265;;;
0;50;;;
0;75;;;
0;45;;;
0;32;;;
0;94;;;
0;92;;;
0;0;;;
0;145;;;
0;30;;;
0;144;;;
0;223;;;
0;38;;;
0;85;;;
0;191;;;
0;39;;;
0;33;;;
0;201;;;
0;140;;;
0;107;;;
0;22;;;
0;49;;;
0;53;;;
0;42;;;
0;35;;;
0;56;;;
0;30;;;
0;27;;;
0;48;;;
0;55;;;
0;101;;;
0;122;;;
0;3;;;
0;95;;;
0;95;;;
0;78;;;
0;53;;;
0;48;;;
0;28;;;
0;287;;;
0;306;;;
0;87;;;
0;40;;;
0;29;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
2;362;;;
4;38;;;
4;30;;;
4;51;;;
4;65;;;
4;59;;;
4;174;;;
4;198;;;
4;22;;;
4;31;;;
4;102;;;
4;34;;;
4;72;;;
4;62;;;
4;41;;;
4;28;;;
4;42;;;
4;58;;;
4;28;;;
4;24;;;
4;48;;;
4;40;;;
4;34;;;
4;50;;;
4;49;;;
4;106;;;
4;73;;;
4;25;;;
4;97;;;
4;37;;;
4;53;;;
4;59;;;
4;28;;;
4;53;;;
4;44;;;
4;79;;;
4;89;;;
4;50;;;
4;81;;;
4;90;;;
4;71;;;
4;51;;;
4;33;;;
4;38;;;
4;53;;;
4;87;;;
4;24;;;
4;102;;;
4;220;;;
4;36;;;
4;66;;;
4;92;;;
4;42;;;
4;26;;;
4;50;;;
4;29;;;
4;32;;;
4;56;;;
4;178;;;
4;84;;;
;;;;
;;;;
;;;;
;;;;
